jira_id,affected versions,fixed version,commit date,created,resolution date
2020-02-06T09:59:14Z,dab3acbda04dd0ccb730eee539db4f4a82359d2e,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
2020-02-06T09:33:12Z,3c19c4f594a7c080b61cfa92a892c05cd317d1bc,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
2020-02-04T09:21:36Z,28f31bb8b93cb508110d0fb0a125eb974fcb3df4,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
2020-01-31T16:44:22Z,cb72af53771e8fd909e8adfb14fc9b415916bc27,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
2020-02-26T16:34:00Z,43b05dea91097162c95e99184bab4bb724c6bb7f,SYNCOPE-1537,2020-02-26T16:39:08.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-30T11:41:41.000+0000
2020-02-26T16:18:07Z,503bbb4b619f353c68dba71b1a107ddca82aba18,SYNCOPE-1537,2020-02-26T16:39:08.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-30T11:41:41.000+0000
2020-02-26T16:17:02Z,34aa2dcdb36886df09e9e5c2cc3792486d0d4050,SYNCOPE-1537,2020-02-26T16:39:08.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-30T11:41:41.000+0000
2020-01-28T09:32:54Z,628060a9d53b4bfcde79ca7891f152ec0e76fdbd,SYNCOPE-1536,2020-01-28T09:33:41.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-28T09:21:01.000+0000
2020-01-15T07:38:49Z,5ee66e116e8cd6a49ba94b0086d0b5ccf74986a2,SYNCOPE-1533,2020-01-15T07:12:28.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-14T15:21:04.000+0000
2020-01-15T07:09:22Z,c1ae2ae798f664b8a5188865d36af9d712647586,SYNCOPE-1533,2020-01-15T07:12:28.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-14T15:21:04.000+0000
2019-12-12T07:26:24Z,2e8400196dacdaae08f123d3a8a190d69191cdf9,SYNCOPE-1526,2019-12-12T07:33:24.000+0000,[2.0.14  2.1.5],[2.0.15  2.1.6  3.0.0],2019-12-12T03:04:31.000+0000
2019-12-12T07:22:56Z,1f71884ab5ad77ce7890169f36692928f9a16d14,SYNCOPE-1525,2019-12-12T07:38:45.000+0000,[2.0.14  2.1.5],[2.0.15  2.1.6  3.0.0],2019-12-12T02:59:47.000+0000
2019-12-02T15:32:52Z,5c2b4de1ba2c52e53f545ed0aeb856642c4a2fff,SYNCOPE-1520,2019-12-02T15:24:30.000+0000,[2.1.5],[2.1.6  3.0.0],2019-12-02T15:01:54.000+0000
2019-12-02T15:16:55Z,460fa826d4136bb1bec5a271232f5fa0405a36c0,SYNCOPE-1520,2019-12-02T15:24:30.000+0000,[2.1.5],[2.1.6  3.0.0],2019-12-02T15:01:54.000+0000
2019-11-23T14:57:13Z,dea9c22f4c88a7d8cc1f1abf87be40dd0383b647,SYNCOPE-1512,2019-11-23T14:58:11.000+0000,[2.1.5],[2.1.6  3.0.0],2019-11-18T16:25:27.000+0000
2019-11-08T09:36:53Z,553b33a46a2b2b2f6219b4a8c1512009e8306c3f,SYNCOPE-1505,2019-11-08T10:56:38.000+0000,[2.0.14  2.1.5  3.0.0],[2.0.15  2.1.6  3.0.0],2019-10-29T14:37:35.000+0000
2019-10-15T12:35:51Z,352bd60131f0cb10526108b54167ffbbab93e731,SYNCOPE-1504,2019-10-15T12:37:51.000+0000,[2.1.5],[2.1.6  3.0.0],2019-10-15T11:37:05.000+0000
2019-10-17T12:54:40Z,08a534d6464d78dbc24a9dd58dd04ecfcddb11a9,SYNCOPE-1503,2019-10-17T12:55:37.000+0000,[2.1.5],[2.1.6  3.0.0],2019-10-10T10:07:09.000+0000
2019-09-10T11:57:38Z,9d79fa626884c4e0c21f70ad0e4459965026abd9,SYNCOPE-1493,2019-09-10T12:34:23.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-09-10T09:43:43.000+0000
2019-09-10T14:34:52Z,c98d2d7861827d7d03f6cf7c8d0e93ef462f9eef,SYNCOPE-1492,2019-09-10T14:35:39.000+0000,[],[2.0.14  2.1.5  3.0.0],2019-09-09T18:08:14.000+0000
2019-09-10T12:55:49Z,b8a1d39ae8fdd12a76a9a68695092b4ecb25c282,SYNCOPE-1487,2019-09-10T12:57:04.000+0000,[2.0.13  2.1.4  3.0.0],[2.0.14  2.1.5  3.0.0],2019-09-09T13:31:15.000+0000
2019-09-04T12:23:56Z,052d10c4dc38163a488b395ceb7ebd3dd971aa4e,SYNCOPE-1485,2019-09-04T12:35:39.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-09-04T10:58:21.000+0000
2019-09-03T11:34:02Z,ac69701ffa8de228575349c28396f6113849ffeb,SYNCOPE-1484,2019-09-03T11:45:05.000+0000,[3.0.0],[2.0.14  2.1.5  3.0.0],2019-09-03T08:10:49.000+0000
2019-09-03T08:23:44Z,344c511e9a9096b63b5976fbe56c71dc8969c1c1,SYNCOPE-1483,2019-09-03T08:24:11.000+0000,[3.0.0],[3.0.0],2019-09-03T07:41:49.000+0000
2019-08-13T11:04:38Z,bd70d14885d5f03fca33f49558db49774a78e15d,SYNCOPE-1481,2019-08-13T12:53:27.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-08-07T11:18:19.000+0000
2019-09-11T14:40:13Z,ff9cb07abf411cfdaa7ba3fe020062e75cf4cc8f,SYNCOPE-1480,2019-09-11T15:15:10.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-07-25T10:58:39.000+0000
2019-09-11T10:14:03Z,3d9fa5874a30a947d22f91bd897c908f2d9f71a2,SYNCOPE-1478,2019-09-11T10:14:30.000+0000,[2.1.4],[2.1.5  3.0.0],2019-06-25T15:31:45.000+0000
2019-06-05T13:44:33Z,0ec02b209814446e8e254a3222649de5c1111097,SYNCOPE-1477,2019-06-05T13:57:49.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-06-05T13:24:22.000+0000
2020-02-12T14:39:16Z,4ae39ce664b27bdcc9df39490f37592f8c8069d1,SYNCOPE-1476,2019-06-04T09:08:52.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-06-03T10:18:52.000+0000
2019-06-04T15:20:53Z,225e32f9244e70d4b3bef2fef29e412a01493aad,SYNCOPE-1476,2019-06-04T09:08:52.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-06-03T10:18:52.000+0000
2019-06-04T09:07:17Z,5e26a2feacc7672c40e2e40b28a9b8e3af427574,SYNCOPE-1476,2019-06-04T09:08:52.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-06-03T10:18:52.000+0000
2019-09-11T09:36:48Z,21d43a3014db1403c6486bb66748f9204c5a2ad9,SYNCOPE-1474,2019-09-11T09:37:17.000+0000,[2.1.4],[2.1.5  3.0.0],2019-05-24T15:52:00.000+0000
2019-05-21T15:09:59Z,4589bf1deec0b6408bf4cb26c60be923c66f782a,SYNCOPE-1472,2019-05-21T15:13:38.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-05-17T14:23:18.000+0000
2019-05-07T07:29:14Z,3419d9eddfe0bf74e3a8b108f43242b6aa654e19,SYNCOPE-1470,2019-05-07T07:29:38.000+0000,[2.1.4],[2.1.5  3.0.0],2019-05-07T07:23:35.000+0000
2019-05-07T06:45:32Z,4cf2d5c306e1a89350294821924365fe587be16c,SYNCOPE-1469,2019-05-07T06:42:55.000+0000,[2.1.4],[2.1.5  3.0.0],2019-05-07T06:41:08.000+0000
2019-05-07T06:41:55Z,27f3aba37e780ae3852072a1be65d48ed0118c53,SYNCOPE-1469,2019-05-07T06:42:55.000+0000,[2.1.4],[2.1.5  3.0.0],2019-05-07T06:41:08.000+0000
